Year,Lat,Long,Source
2015,37.736577037554,-122.405583856060,311
2014,37.736601103060,-122.385712955458,311
2015,37.736616722681,-122.403787693668,311
2016,37.736687554509,-122.406281202804,311
2016,37.736694899502,-122.391095642292,311
2015,37.736737534216,-122.424234923488,311
2015,37.736809478856,-122.425299194926,311
2016,37.736822694038,-122.409138341468,311
2014,37.736822694038,-122.409138341468,311
2016,37.736832795169,-122.405008072535,311
2014,37.736894855461,-122.423980084877,311
2016,37.736906674275,-122.391087510759,311
2015,37.736913893575,-122.389716644352,311
2016,37.737104633552,-122.404995606500,311
2016,37.737104633552,-122.404995606500,311
2016,37.737104633552,-122.404995606500,311
2016,37.737169398307,-122.389864559174,311
2016,37.737169398307,-122.389864559174,311
2016,37.737169398307,-122.389864559174,311
2016,37.737174737499,-122.425036117779,311
2016,37.737363780595,-122.405658185199,311
2016,37.737363780595,-122.405658185199,311
2016,37.737363780595,-122.405658185199,311
2015,37.737406296740,-122.424040208165,311
2014,37.737406296740,-122.424040208165,311
2014,37.737406296740,-122.424040208165,311
2016,37.737468150424,-122.396231711731,311
2016,37.737482479388,-122.424685650411,311
2016,37.737490422352,-122.405747240094,311
2016,37.737490422352,-122.405747240094,311
2016,37.737490422352,-122.405747240094,311
2016,37.737490422352,-122.405747240094,311
2016,37.737496282981,-122.424647609064,311
2014,37.737496282981,-122.424647609064,311
2016,37.737541784538,-122.390521192223,311
2016,37.737541784538,-122.390521192223,311
2016,37.737541784538,-122.390521192223,311
2016,37.737541784538,-122.390521192223,311
2016,37.737541784538,-122.390521192223,311
2016,37.737541784538,-122.390521192223,311
2014,37.737541784538,-122.390521192223,311
2016,37.737541784538,-122.390521192223,311
2016,37.737541784538,-122.390521192223,311
2016,37.737565792277,-122.407252255355,311
2015,37.737595656150,-122.388682609715,311
2016,37.737612666729,-122.389909548538,311
2016,37.737612666729,-122.389909548538,311
2016,37.737612666729,-122.389909548538,311
2015,37.737612666729,-122.389909548538,311
2016,37.737612666729,-122.389909548538,311
2014,37.737640584461,-122.390052718455,311
2015,37.737727453079,-122.405692544344,311
2015,37.737744083589,-122.402634101355,311
2013,37.737753668084,-122.425510262228,311
2014,37.737753668084,-122.425510262228,311
2016,37.737753668084,-122.425510262228,311
2014,37.737753668084,-122.425510262228,311
2015,37.737753668084,-122.425510262228,311
2016,37.737797964295,-122.389039520458,311
2016,37.737817496580,-122.410184852553,311
2016,37.737925640884,-122.420679098593,311
2016,37.737956078298,-122.389687766844,311
2015,37.737965783947,-122.406910400922,311
2015,37.737965783947,-122.406910400922,311
2015,37.737965783947,-122.406910400922,311
2014,37.738003657181,-122.390041412842,311
2016,37.738008978341,-122.401464598743,311
2015,37.738108019011,-122.409644548183,311
2013,37.738128273000,-122.392095057000,311
2016,37.738166116859,-122.389958740690,311
2015,37.738166116859,-122.389958740690,311
2016,37.738166116859,-122.389958740690,311
2016,37.738166116859,-122.389958740690,311
2016,37.738166116859,-122.389958740690,311
2016,37.738166116859,-122.389958740690,311
2016,37.738166116859,-122.389958740690,311
2016,37.738166116859,-122.389958740690,311
2016,37.738166116859,-122.389958740690,311
