CALL_NO,ENTRY_DATE,TIME_PERIOD,Year,ENTRY_TIME,CLOSE_TIME,PRIORITY,CALL_TYPE,1ST_UNIT,DISP,LOCATION,FULL_ADDRESS_CLEAN,Lat,Long,Accuracy Score,count,mod
143360356,12/2/14,2,2014,4:37:55 AM,4:52:50 AM,C,915,3G67,CIT,MCLAREN LODGE,"MCLAREN LODGE, SAN FRANCISCO, CA",37.7749295,-122.4194155,1,3350,0
143350507,12/1/14,2,2014,7:07:54 AM,7:18:13 AM,C,915,3A12A,CIT,272 SUTTER ST,"272 SUTTER ST, SAN FRANCISCO, CA",37.789957,-122.405082,1,3352,0
143351449,12/1/14,2,2014,11:53:26 AM,11:59:07 AM,C,915,3D73,CIT,MISSION STATION,"MISSION STATION, SAN FRANCISCO, CA",37.7733102,-122.3896995,1,3354,0
143350985,12/1/14,2,2014,9:45:01 AM,11:11:56 AM,C,919,3D71,CIT,SOUTH VAN NESS AV/13TH ST,"SOUTH VAN NESS AV AND 13TH ST, SAN FRANCISCO, CA",37.769957,-122.417661,1,3356,0
143351658,12/1/14,2,2014,12:40:19 PM,1:35:20 PM,C,915,3F43A,CIT,1665 HAIGHT ST,"1665 HAIGHT ST, SAN FRANCISCO, CA",37.769429,-122.449896,1,3358,0
143340711,11/30/14,2,2014,7:05:56 AM,7:16:31 AM,C,915,9X25B,CIT,45 3RD ST,"45 3RD ST, SAN FRANCISCO, CA",37.787172,-122.40303,1,3360,0
143340572,11/30/14,2,2014,4:45:08 AM,4:51:57 AM,C,915,3F70B,CIT,501 STANYAN ST,"501 STANYAN ST, SAN FRANCISCO, CA",37.771975,-122.454801,1,3362,0
143341032,11/30/14,2,2014,10:06:26 AM,10:26:49 AM,C,915,3I2A,CIT,1810 IRVING ST,"1810 IRVING ST, SAN FRANCISCO, CA",37.763762,-122.477486,1,3364,0
143330937,11/29/14,2,2014,9:23:43 AM,9:31:54 AM,C,915,9X25B,CIT,HARRISON ST/6TH ST,"HARRISON ST AND 6TH ST, SAN FRANCISCO, CA",37.777273,-122.404069,0.94,3366,0
143320432,11/28/14,2,2014,5:20:31 AM,5:26:54 AM,C,915,3J90A,CIT,100 POWELL ST,"100 POWELL ST, SAN FRANCISCO, CA",37.78577,-122.407677,1,3368,0
143320602,11/28/14,2,2014,7:24:46 AM,7:28:49 AM,C,915,3J90A,CIT,245 MCALLISTER ST,"245 MCALLISTER ST, SAN FRANCISCO, CA",37.780476,-122.416004,1,3370,0
143320535,11/28/14,2,2014,6:55:04 AM,7:05:27 AM,C,915,3D71,CIT,MISSION DOLORES CHURCH,"MISSION DOLORES CHURCH, SAN FRANCISCO, CA",37.776646,-122.417481,1,3372,0
143320890,11/28/14,2,2014,9:39:32 AM,10:40:40 AM,C,915,3D71,CIT,CALEDONIA ST/15TH ST,"CALEDONIA ST AND 15TH ST, SAN FRANCISCO, CA",37.766571,-122.421531,1,3374,0
143310597,11/27/14,2,2014,7:19:40 AM,7:44:13 AM,C,915,3E48C,CIT,100 BLK OLIVE ST,"100 OLIVE ST, SAN FRANCISCO, CA",37.784351,-122.419455,1,3376,0
143310603,11/27/14,2,2014,7:23:36 AM,7:45:35 AM,C,915,3I71,CIT,724 IRVING STREET,"724 IRVING STREET, SAN FRANCISCO, CA",37.764312,-122.465755,1,3378,0
