PROPERTY_ADDRESS,FULL_ADDRESS,NAME,SuppHsg,DBI_VIOLATIONS,Lat,Long
1327 LEAVENWORth ST,1327 Leavenworth St,NA,No,19,37.793513,-122.416575
30 SYCAMORE ST,30 Sycamore St,NA,No,19,37.762853,-122.420173
71 CURTIS ST,71 Curtis St,NA,No,19,37.71363,-122.439396
647 5th AV,647 5th Av,NA,No,19,37.776369,-122.463202
3735 ANZA ST,3735 Anza St,NA,No,19,37.777746,-122.488357
940 JONES ST,940 Jones St,NA,No,19,37.790099,-122.413568
650 CHURCH ST,650 Church St,NA,No,19,37.760346,-122.428582
273 TEDDY AV,273 Teddy Av,NA,No,19,37.71478,-122.40808
55 POLK ST,55 Polk St,NA,No,19,37.77714,-122.41824
51 6th ST,51 6th St,Hillsdale Hotel,Yes,19,37.781687,-122.409222
1126 CLAY ST,1126 Clay St,NA,No,19,37.793804,-122.411775
27 DASHIELL HAMMETT ST,27 Dashiell Hammett St,NA,No,19,37.79065,-122.408148
2226 CALIFORNIA ST,2226 California St,NA,No,19,37.789552,-122.43114
1991 CALIFORNIA ST,1991 California St,NA,No,18,37.789392,-122.427
633 ARGUELLO BL,633 Arguello Bl,NA,No,18,37.778429,-122.45905
1129 UNION ST,1129 Union St,NA,No,18,37.799093,-122.417896
191 SICKLES AV,191 Sickles Av,NA,No,18,37.709903,-122.454572
2393 MISSION ST,2393 Mission St,NA,No,18,37.758855,-122.418766
1825 HAIGHT ST,1825 Haight St,NA,No,18,37.769035,-122.452306
274 GREEN ST,274 Green St,NA,No,18,37.800342,-122.403815
715 CLEMENTINA ST,715 Clementina St,NA,No,18,37.775066,-122.410798
117 BARTLETT ST,117 Bartlett St,NA,No,18,37.754797,-122.419483
528 NATOMA ST,528 Natoma St,NA,No,18,37.779734,-122.40852
1777 HAIGHT ST,1777 Haight St,NA,No,18,37.769207,-122.45137
1445 WALLER ST,1445 Waller St,NA,No,18,37.768824,-122.447413
157 BARTLETT ST,157 Bartlett St,NA,No,18,37.754456,-122.419451
1739 JONES ST,1739 Jones St,NA,No,18,37.797386,-122.415549
144 PEABODY ST,144 Peabody St,NA,No,18,37.710513,-122.407636
712 SHOTWELL ST,712 Shotwell St,NA,No,18,37.75691,-122.415869
3233 23rd ST,3233 23rd St,NA,No,18,37.753783,-122.417098
212 26th AV,212 26th Av,NA,No,18,37.785365,-122.485966
4210 BALBOA ST,4210 Balboa St,NA,No,18,37.775651,-122.50403
825 POST ST,825 Post St,NA,No,18,37.787128,-122.41529
1835 NORIEGA ST,1835 Noriega St,NA,No,18,37.753672,-122.483608
2691 ALEMANY BL,2691 Alemany Bl,NA,No,18,37.713811,-122.448529
225 HYDE ST,225 Hyde St,NA,No,18,37.782912,-122.416118
3147 ANZA ST,3147 Anza St,NA,No,18,37.77813,-122.48218
2023 FOLSOM ST,2023 Folsom St,NA,No,18,37.764902,-122.414949
733 GREENWICH ST,733 Greenwich St,NA,No,18,37.801752,-122.411851
